first_name,surname,born,team,number,shoots,nationality,dual_nation,position,captaincy
Brandon,Ayliffe,1998,Raiders,10,R,England,-,F,-
Thomas,Relf,1998,Raiders,11,R,England,-,D,-
Dan,Scott,1992,Raiders,13,R,England,-,D,A
Jack,Cooper,1996,Raiders,14,R,England,-,D,-
JJ,Pitchley,1994,Raiders,15,R,England,-,F,-
Rio,Grinell-Parke,1999,Raiders,17,L,England,-,F,-
Samuel,Cooper,2004,Raiders,20,R,England,-,D,-
Callum,Wells,1998,Raiders,21,R,England,-,D,-
Tjay,Anderson,2004,Raiders,22,-,England,-,F,-
Oliver,Baldock,1998,Raiders,24,R,England,-,F,-
Jake,Sylvester,1997,Raiders,29,L,England,-,F,-
Brad,Windebank,2002,Raiders,32,L,England,-,NM,-
Callum,Burnett,2001,Raiders,36,R,England,-,D,-
Ethan,James,1999,Raiders,39,L,England,-,NM,-
Erik,Piatak,1986,Raiders,51,R,Slovakia,-,F,-
Sean,Barry,1994,Raiders,55,R,England,-,D,A
Harry,Corkum,2004,Raiders,61,L,England,-,F,-
Aaron,Connolly,1993,Raiders,63,L,England,-,F,C
Dan,Fay,2000,Raiders,72,-,England,-,D,-
James,Hounsome,1999,Raiders,85,L,England,Slovakia,F,-
Tommy,Hugget,2002,Raiders,86,R,England,-,F,-
Lukas,Sladkovsky,1996,Raiders,91,L,Czech Rep.,-,F,-
Jacob,Ranson,1995,Raiders,95,R,England,-,D,-
Luke,Jackson,1999,Bees,4,R,England,-,D,-
Joshua,Kelly,2000,Bees,7,L,England,-,D,-
James,Galazzi,1983,Bees,10,L,England,-,C,A
Michael,Power,2000,Bees,12,R,England,-,F,-
Niklas,Sandberg Örnmarker ,1999,Bees,14,L,Sweden,-,F,-
Joe,Baird,1980,Bees,15,R,England,-,D,-
Harry,Harcup,2000,Bees,17,-,England,-,F,-
Ryan,Webb,1994,Bees,18,R,England,-,F,-
William,Stead,1998,Bees,19,R,England,-,F,-
Lewis,English,2000,Bees,21,R,England,-,F,-
Skate,Skalde,2003,Bees,21,R,Canada,-,F,-
Dominik,Gabaj,1992,Bees,23,L,Slovakia,-,F,-
Joshua,Smith,1998,Bees,27,R,England,-,F,-
Luke,Smital,2003,Bees,32,R,USA,Czech Rep.,F,-
Curtis,Warbuton,2001,Bees,34,-,England,-,NM,-
Juha,Lindgren,2003,Bees,38,L,England,Finland,F,-
